Hole_ID;Y;X;Z
C170887;9722749.46;334746.89;878.6
C170888;9722748.96;334648.91;882.25
C170889;9722748.93;334550.75;877.52
C170890;9722748.38;334448.37;870.11
C170891;9722751.23;334343.86;867.14
C170892;9722748.35;334245.44;870.19
C170893;9722749.73;334150.42;874.08
C170894;9722747.58;334050.14;876.97
C170901;9722497.908;334349.995;870.306
C170902;9722750.41;334699.4;879.58
C170903;9722750.46;334597.65;882.12
C170904;9722749.13;334499.96;873.41
C170905;9722752.17;334303.34;868.28
C170906;9722750.03;334400.03;868.31
C170907;9722749.79;334199.33;872.04
C170908;9722749.24;334096.66;875.25
C170909;9722703.921;334101.855;877.126
C170938;9722754.47;333998.65;880.85
C170939;9722702.336;333994.843;881.505
C170940;9722699.27;334600.5;880.55
C170941;9722701.82;334699.66;878.86
C170942;9722699.77;334551.35;876.96
C170943;9722700.86;334348.43;869.76
C170944;9722702;334401.35;870.25
C170945;9722698.34;334449.7;871.51
C170946;9722700.71;334499.48;873.81
C170952;9722702.02;334655.49;880.49
C170953;9722699.39;334301.02;871.89
C170954;9722698.93;334200.62;874.76
C170955;9722700.08;334251.78;874.58
C170956;9722705.94;334156.55;874.47
C170957;9722702.72;334048.99;879.92
C170958;9722598.475;334550.987;878.44
C170959;9722358.014;334150.561;866.786
C170960;9722600.72;334599.06;879.16
C171048;9722399.416;334449.943;868.609
C171056;9722649;334048.77;882.85
C185611;9722652.214;334152.762;876.331
C185619;9722649.89;334249.38;878.3
C185640;9722646.68;334352.12;871.91
C185641;9722647.76;334449.83;872.79
C185643;9722650.57;334552.03;876.82
C185645;9722649.64;334650.66;879.35
C185649;9722649.46;334746.83;878.4
C185650;9722363.726;334398.361;868.504
C185655;9722397.273;334391.014;868.61
C185656;9722651.12;333996.66;886.02
C185657;9722650.628;334101.197;879.21
C185665;9722650.16;334199.3;876.72
C185666;9722649.57;334300.69;874.65
C185667;9722649.03;334400.68;872.03
C185668;9722650.14;334498.69;874.55
C185669;9722651.53;334601.37;879.21
C185670;9722650.67;334702.19;878.32
C185671;9722596.86;334247.63;875
C185672;9722599.46;334300.53;872.98
C185673;9722598.71;334500.15;877.21
C185676;9722599.76;334646.77;879.77
C185687;9722360.483;334202.322;866.162
C185688;9722595.1;334099.04;879.56
C185689;9722601.45;334149.83;875.35
C185692;9722362.007;334106.18;866.671
C185693;9722600.89;334051.42;882.93
C185694;9722600.56;333999.96;884.55
C185695;9722600.53;334198.9;875.14
C185740;9722595.97;334706.24;879.38
C185741;9722601.16;334352.48;871.56
C185742;9722601.03;334396.73;872.15
C185743;9722599.44;334446.94;873.62
C185744;9722549.43;334747.07;878.66
C185745;9722547.09;334649.08;880.07
C185783;9722551.18;334550.04;879.91
C185794;9722547.44;334452.23;873.49
C185795;9722546.23;334348.31;870.88
C185814;9722550.46;334249.02;872.79
C185866;9722547.77;334147.64;875.06
C185867;9722550.32;334049.75;881.13
C185868;9722355.173;334297.164;869
C185869;9722358.061;334246.385;867.755
C185870;9722552.36;333999.56;881.19
C185872;9722552.99;334100.9;878.63
C185874;9722551.04;334197.25;873.83
C185875;9722551.11;334301;871.67
C185876;9722550.12;334397.98;871.56
C185877;9722547.08;334499.43;877.44
C185881;9722549.23;334598.91;879.95
C185882;9722549.52;334699.66;880.16
C185883;9722501.97;334651.97;880.26
C185884;9722501.27;334700.53;880.63
C185885;9722500;334501.98;874.2
C185886;9722496.04;334552.58;876.98
C185887;9722498.57;334595.08;879
C185888;9722505.08;333999.46;872.11
C185889;9722500.68;334050.08;874.54
C185890;9722356.078;334350.744;869.335
C185917;9722499.98;334099.71;874.53
C185918;9722500.58;334151.76;873.64
C185919;9722500.66;334300.64;871.13
C185920;9722499.16;334399.11;869.24
C185921;9722502.55;334452.53;870.48
C185922;9722500.01;334200.05;872.94
C185923;9722494.73;334250.28;872.16
C185924;9722448.63;334052.49;868.58
C185925;9722452.11;334152.77;870.68
C185926;9722448.17;334247.19;871.18
C185927;9722449.66;334347.01;869.96
C185928;9722449.6;334447.01;867.3
C185930;9722450.53;334550.07;873.29
C185931;9722449.44;334651.32;878.48
C185932;9722449.43;334747.01;880.55
C185934;9722449.26;334002.69;864.51
C185935;9722452.51;334100.6;870.17
C185936;9722450.81;334200.27;870.91
C185937;9722451.42;334298.94;870.7
C185938;9722448.69;334399.09;867.82
C185939;9722449.31;334495.03;869.96
C185940;9722449.64;334599.27;876.24
C185941;9722449.32;334697.76;880.04
C185942;9722396.96;334342.09;870.69
C185943;9722398.6;334297.93;870.25
C185944;9722402.87;334100.9;864.79
C185945;9722401.09;334145.55;865.07
C185968;9722408.81;334194.31;867.68
C185969;9722401.46;334249.21;869.68
