Hole_ID;Depth;Dip;Azimuth
C170887;27;-90;0
C170888;29;-90;0
C170889;19.5;-90;0
C170890;27.5;-90;0
C170891;30;-90;0
C170892;22.5;-90;0
C170893;30.5;-90;0
C170894;44.5;-90;0
C170901;36;-90;0
C170902;25;-90;0
C170903;26;-90;0
C170904;24;-90;0
C170905;29;-90;0
C170906;27;-90;0
C170907;24;-90;0
C170908;37.5;-90;0
C170909;25.5;-90;0
C170938;23.65;-90;0
C170939;28.5;-90;0
C170940;24;-90;0
C170941;20;-90;0
C170942;33;-90;0
C170943;26.5;-90;0
C170944;22;-90;0
C170945;30;-90;0
C170946;36.3;-90;0
C170952;27;-90;0
C170953;19;-90;0
C170954;32.4;-90;0
C170955;28;-90;0
C170956;30;-90;0
C170957;22;-90;0
C170958;30.5;-90;0
C170959;44.5;-90;0
C170960;36;-90;0
C171048;28.5;-90;0
C171056;10;-90;0
C185611;17;-90;0
C185619;23;-90;0
C185640;37.5;-90;0
C185641;29;-90;0
C185643;27;-90;0
C185645;21;-90;0
C185649;32.4;-90;0
C185650;17.3;-90;0
C185655;21;-90;0
C185656;23.5;-90;0
C185657;11.78;-90;0
C185665;16;-90;0
C185666;18.24;-90;0
C185667;19.6;-90;0
C185668;36.3;-90;0
C185669;20;-90;0
C185670;18;-90;0
C185671;17;-90;0
C185672;10.45;-90;0
C185673;18;-90;0
C185676;11;-90;0
C185687;38.3;-90;0
C185688;28;-90;0
C185689;23.65;-90;0
C185692;19.6;-90;0
C185693;17;-90;0
C185694;14;-90;0
C185695;15;-90;0
C185740;19;-90;0
C185741;30.6;-90;0
C185742;24;-90;0
C185743;32;-90;0
C185744;23;-90;0
C185745;13;-90;0
C185783;19;-90;0
C185794;7.45;-90;0
C185795;23.55;-90;0
C185814;23;-90;0
C185866;24;-90;0
C185867;21;-90;0
C185868;22;-90;0
C185869;22;-90;0
C185870;21;-90;0
C185872;25;-90;0
C185874;31;-90;0
C185875;34;-90;0
C185876;35;-90;0
C185877;20;-90;0
C185881;37;-90;0
C185882;26;-90;0
C185883;28;-90;0
C185884;25;-90;0
C185885;17;-90;0
C185886;25;-90;0
C185887;24;-90;0
C185888;29;-90;0
C185889;30;-90;0
C185890;25;-90;0
C185917;19;-90;0
C185918;13;-90;0
C185919;16;-90;0
C185920;16;-90;0
C185921;16.5;-90;0
C185922;23;-90;0
C185923;17;-90;0
C185924;16;-90;0
C185925;21;-90;0
C185926;28;-90;0
C185927;25;-90;0
C185928;17;-90;0
C185930;30.5;-90;0
C185931;15.5;-90;0
C185932;19;-90;0
C185934;27;-90;0
C185935;12.5;-90;0
C185936;20;-90;0
C185937;26;-90;0
C185938;22.5;-90;0
C185939;13;-90;0
C185940;18.5;-90;0
C185941;22.5;-90;0
C185942;19;-90;0
C185943;15.5;-90;0
C185944;27;-90;0
C185945;19;-90;0
C185968;15.5;-90;0
C185969;18;-90;0
